CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.AA.3713.11A.01R.1723.07	0	0	0.324	0.057	0.027	0	0.227	0.169	0.379	0.208	0.35	0.007	0.049	0.197	0.329	0.183	0.104	0.121	0.372	0.361	0.153	0.006	0.104	0.244	0.8
TCGA.AA.A01P.01A.21R.A083.07	0	0.007	0.427	0.235	0.08	0.16	0.247	0.355	0.301	0.07	0.339	0.053	0.027	0.011	0.127	0.197	0.11	0.135	0.318	0.326	0.075	0.082	0.15	0.319	0.794
TCGA.AA.A01X.01A.21R.A083.07	0	0	0.243	0.086	0.027	0.098	0.331	0.142	0.194	0.246	0.262	0.042	0.031	0.132	0.158	0.114	0.134	0.124	0.148	0.191	0.148	0	0.219	0.222	0.633
TCGA.AA.A01Z.01A.11R.A083.07	0	0	0.025	0.046	0.025	0.108	0.232	0.182	0.091	0.187	0.224	0.004	0.031	0.167	0.141	0.128	0.106	0.173	0.247	0.142	0.232	0	0.08	0.065	0.571
TCGA.AA.A02K.01A.03R.A32Y.07	0	0.037	0.14	0.127	0.005	0.073	0.26	0.092	0.085	0.149	0.111	0	0.043	0.083	0.246	0.143	0.098	0.226	0.288	0.101	0.252	0.02	0.079	0.198	0.674
TCGA.AA.A02Y.01A.43R.A32Y.07	0	0	0.306	0.154	0	0.162	0.263	0.362	0.249	0.096	0.334	0	0.057	0.121	0.207	0.107	0.046	0.11	0.154	0.273	0.196	0.044	0.061	0.276	0.595
TCGA.AD.5900.01A.11R.1653.07	0	0.075	0.412	0.122	0.065	0.143	0.345	0.259	0.355	0.163	0.202	0	0	0.021	0.187	0.221	0.096	0.169	0.315	0.268	0.094	0.066	0.09	0.27	0.741
TCGA.AD.6548.01A.11R.1839.07	0	0.039	0.344	0.161	0.028	0.082	0.296	0.322	0.216	0.136	0.247	0.013	0.024	0.128	0.205	0.28	0.045	0.203	0.354	0.252	0.153	0.044	0.116	0.19	0.775
TCGA.AD.6888.01A.11R.1928.07	0	0.02	0.212	0.134	0	0.156	0.219	0.146	0.168	0.155	0.053	0	0	0.125	0.21	0.083	0.11	0.143	0.113	0.183	0.259	0.047	0.014	0.234	0.554
TCGA.AD.6889.01A.11R.1928.07	0	0	0.253	0.121	0.014	0.178	0.249	0.215	0.242	0.174	0.208	0	0.053	0.11	0.247	0.174	0	0.131	0.233	0.266	0.187	0.013	0.127	0.16	0.622
